dataset,config,seed,r2,rmse,train_time,n_estimators,use_bootstrap,use_feature_subsampling
Dummy,A_SingleTree,42,0.9322566656492492,0.6025403241041066,0.30809389997739345,1,False,False
Dummy,A_SingleTree,123,0.9322566656492492,0.6025403241041066,0.3086176000069827,1,False,False
Dummy,D_FullRandomForest,42,0.8900876270847639,0.7674960062438886,0.8553429000312462,10,True,True
Dummy,D_FullRandomForest,123,0.8759909649883322,0.8152287670307513,0.8619943999801762,10,True,True
