dataset,n_samples,n_train,n_test,n_estimators,seed,fit_seconds,seconds_per_tree,r2,rmse
UsedCars,2000,1600,400,10,123,5.636706699966453,0.5636706699966453,0.6156462671966391,9561.654575978628
UsedCars,2000,1600,400,10,42,5.761344200000167,0.5761344200000167,0.6245854484127603,9449.809420537573
CaliforniaHousing,2000,1600,400,10,123,5.43415929999901,0.543415929999901,0.7212165804485937,61250.57056484702
CaliforniaHousing,2000,1600,400,10,42,5.5739738999982364,0.5573973899998237,0.7317736859167145,60079.64516490807
