dataset,config,mean_r2,std_r2,mean_rmse,std_rmse,mean_train_time,std_train_time,bias_squared,variance
UsedCars,A_SingleTree,0.5668486192428663,0.0,10155.95275086073,0.0,23.70820636667001,0.14925942685221422,83022615.81932437,46499106.5295361
UsedCars,D_FullRandomForest,0.6568299245136516,0.0038050557590024892,9039.5920020449,50.19770821802396,79.62971990002552,2.8233211314320856,82979334.50454709,3531255.0547884484
CaliforniaHousing,A_SingleTree,0.6978173477367484,0.0,64306.28012038618,7.275957614183426e-12,9.99198106668579,0.15537394570087246,3159206514.4323153,1511129914.3320742
CaliforniaHousing,D_FullRandomForest,0.7702051626790724,0.00467895908463677,56074.59442712712,572.2821698711929,68.6097292000001,3.6462154288969217,3181861466.6835713,151330997.1050251
