dataset,n_samples,n_estimators,mean_fit_seconds,std_fit_seconds,mean_r2,mean_rmse
CaliforniaHousing,2000,10,5.504066599998623,0.09886385176833781,0.7264951331826541,60665.107864877544
UsedCars,2000,10,5.69902544998331,0.08813202146397763,0.6201158578046997,9505.7319982581
